,b.obj$importance,symbol
TRIP10,0.0417339173269333,TRIP10
NGFR,0.0116351908815182,NGFR
SPAG4,0.00426432490510302,SPAG4
RSPO4,0.00405371984390732,RSPO4
GDI1,0.00385849501731562,GDI1
SLC48A1,0.00227759609262566,SLC48A1
FOLR1,0.00186221438814451,FOLR1
SRMS,0.00108787358554963,SRMS
SNCG,0.00070007938117609,SNCG
TPM2,0.000655814678803952,TPM2
SLC39A14,0.000554711516580493,SLC39A14
TMCO6,0.000537897474922315,TMCO6
ESCO2,0.000533054086339158,ESCO2
CCDC8,0.000420759840626078,CCDC8
SLC2A2,0.000191117725625419,SLC2A2
HBA2,0.000174027259014655,HBA2
UCP2,0.000137179222565773,UCP2
MIR200B,0.000120574618323215,MIR200B
C2CD2L,1.79321782203812e-05,C2CD2L
ELF1,0,ELF1
UBA7,-8.31201511129664e-05,UBA7
PCP4L1,-0.000180690464118735,PCP4L1
MAPK8,-0.000210270394465227,MAPK8
PPP1R14A,-0.00024441272455437,PPP1R14A
HAND1,-0.00412459907649985,HAND1
