model,gene,auc
1,TRIP10 + NGFR,0.642926021707831
1,TRIP10 + SPAG4,0.622596657663534
1,TRIP10 + RSPO4,0.612552076391686
1,TRIP10 + GDI1,0.624175364652563
1,TRIP10 + SLC48A1,0.652151821146133
1,TRIP10 + FOLR1,0.590586131253698
1,TRIP10 + SRMS,0.622616913610274
2,NGFR + SPAG4,0.611033472268331
2,NGFR + RSPO4,0.545408376741157
2,NGFR + GDI1,0.629375322556115
2,NGFR + SLC48A1,0.645912128080117
2,NGFR + FOLR1,0.576818452438724
2,NGFR + SRMS,0.624308341322764
3,SPAG4 + RSPO4,0.580684038344225
3,SPAG4 + GDI1,0.638640984642386
3,SPAG4 + SLC48A1,0.637609291121406
3,SPAG4 + FOLR1,0.589560899704585
3,SPAG4 + SRMS,0.614146183061822
4,RSPO4 + GDI1,0.609630516504565
4,RSPO4 + SLC48A1,0.622853816037078
4,RSPO4 + FOLR1,0.55051010733793
4,RSPO4 + SRMS,0.596925657068674
5,GDI1 + SLC48A1,0.648562255782865
5,GDI1 + FOLR1,0.614963302942352
5,GDI1 + SRMS,0.618925206256954
6,SLC48A1 + FOLR1,0.612667857546812
6,SLC48A1 + SRMS,0.653613738959185
7,FOLR1 + SRMS,0.598921621678449
